model_key,seed,outcome,block_comparability,n_items,contrast,comparability,git_states,mean_diff_percent,ci_low_percent,ci_high_percent,n_discordant,p_exact,p_holm,significant_holm_0_05
olmo2_1_49b,42,top1_correct,mixed_code_state,274,B-A,homogeneous,['265109b12002'],17.52,12.04,22.99,66,1.1827848105236058e-09,4.731139242094423e-09,True
olmo2_1_49b,42,top1_correct,mixed_code_state,274,C-A,mixed_code_state,"['265109b12002', 'e07022e2dafb']",-1.46,-4.38,1.46,18,0.480682373046875,0.480682373046875,False
olmo2_1_49b,42,top1_correct,mixed_code_state,274,D-C,homogeneous,['e07022e2dafb'],-1.82,-3.65,-0.36,5,0.0625,0.125,False
olmo2_1_49b,42,top1_correct,mixed_code_state,274,D-B,mixed_code_state,"['265109b12002', 'e07022e2dafb']",-20.8,-25.55,-15.69,61,1.6410484082740595e-15,9.846290449644357e-15,True
olmo2_1_49b,42,top1_correct,mixed_code_state,274,D-A,mixed_code_state,"['265109b12002', 'e07022e2dafb']",-3.28,-5.84,-0.73,13,0.0224609375,0.0673828125,False
olmo2_1_49b,42,json_object_recovered,mixed_code_state,274,B-A,homogeneous,['265109b12002'],16.06,7.66,24.45,148,0.0003734381914831312,0.0007468763829662624,True
olmo2_1_49b,42,json_object_recovered,mixed_code_state,274,C-A,mixed_code_state,"['265109b12002', 'e07022e2dafb']",-27.37,-33.21,-21.53,87,7.034485519207362e-18,2.1103456557622085e-17,True
olmo2_1_49b,42,json_object_recovered,mixed_code_state,274,D-C,homogeneous,['e07022e2dafb'],-1.82,-3.65,-0.36,5,0.0625,0.0625,False
olmo2_1_49b,42,json_object_recovered,mixed_code_state,274,D-B,mixed_code_state,"['265109b12002', 'e07022e2dafb']",-45.26,-51.46,-39.42,130,5.381942110522302e-34,3.2291652663133813e-33,True
olmo2_1_49b,42,json_object_recovered,mixed_code_state,274,D-A,mixed_code_state,"['265109b12002', 'e07022e2dafb']",-29.2,-35.04,-23.72,86,2.7421554294015713e-21,1.0968621717606285e-20,True
olmo2_1_49b,42,runtime_object_parsed,mixed_code_state,274,B-A,homogeneous,['265109b12002'],12.04,3.65,20.08,137,0.006052539424559403,0.012105078849118807,True
olmo2_1_49b,42,runtime_object_parsed,mixed_code_state,274,C-A,mixed_code_state,"['265109b12002', 'e07022e2dafb']",-23.36,-28.83,-17.88,76,6.3117184695685895e-15,1.893515540870577e-14,True
olmo2_1_49b,42,runtime_object_parsed,mixed_code_state,274,D-C,homogeneous,['e07022e2dafb'],-1.82,-3.65,-0.36,5,0.0625,0.0625,False
olmo2_1_49b,42,runtime_object_parsed,mixed_code_state,274,D-B,mixed_code_state,"['265109b12002', 'e07022e2dafb']",-37.23,-43.43,-31.39,108,1.2944899305885702e-27,7.766939583531421e-27,True
olmo2_1_49b,42,runtime_object_parsed,mixed_code_state,274,D-A,mixed_code_state,"['265109b12002', 'e07022e2dafb']",-25.18,-30.66,-19.71,75,3.72567441849804e-18,1.490269767399216e-17,True
olmo2_1_49b,42,strict_schema_valid,mixed_code_state,274,B-A,homogeneous,['265109b12002'],0.0,0.0,0.0,0,1.0,1.0,False
olmo2_1_49b,42,strict_schema_valid,mixed_code_state,274,C-A,mixed_code_state,"['265109b12002', 'e07022e2dafb']",0.0,0.0,0.0,0,1.0,1.0,False
olmo2_1_49b,42,strict_schema_valid,mixed_code_state,274,D-C,homogeneous,['e07022e2dafb'],0.0,0.0,0.0,0,1.0,1.0,False
olmo2_1_49b,42,strict_schema_valid,mixed_code_state,274,D-B,mixed_code_state,"['265109b12002', 'e07022e2dafb']",0.0,0.0,0.0,0,1.0,1.0,False
olmo2_1_49b,42,strict_schema_valid,mixed_code_state,274,D-A,mixed_code_state,"['265109b12002', 'e07022e2dafb']",0.0,0.0,0.0,0,1.0,1.0,False
olmo2_1_49b,42,encoding_object_recovered,mixed_code_state,274,B-A,homogeneous,['265109b12002'],-2.19,-7.3,2.92,54,0.49661743531793345,0.49661743531793345,False
olmo2_1_49b,42,encoding_object_recovered,mixed_code_state,274,C-A,mixed_code_state,"['265109b12002', 'e07022e2dafb']",-9.12,-13.5,-5.11,39,7.025478407740593e-05,0.0002810191363096237,True
olmo2_1_49b,42,encoding_object_recovered,mixed_code_state,274,D-C,homogeneous,['e07022e2dafb'],-1.82,-3.65,-0.36,5,0.0625,0.125,False
olmo2_1_49b,42,encoding_object_recovered,mixed_code_state,274,D-B,mixed_code_state,"['265109b12002', 'e07022e2dafb']",-8.76,-12.77,-5.11,30,8.430331945419312e-06,4.215165972709656e-05,True
olmo2_1_49b,42,encoding_object_recovered,mixed_code_state,274,D-A,mixed_code_state,"['265109b12002', 'e07022e2dafb']",-10.95,-14.96,-6.93,36,2.2721360437572002e-07,1.3632816262543201e-06,True
olmo2_1_49b,42,format_tolerant_chart_correct,mixed_code_state,274,B-A,homogeneous,['265109b12002'],11.68,3.65,19.71,126,0.005536025163897797,0.011072050327795594,True
olmo2_1_49b,42,format_tolerant_chart_correct,mixed_code_state,274,C-A,mixed_code_state,"['265109b12002', 'e07022e2dafb']",-23.72,-29.2,-18.25,77,3.418320890290292e-15,1.0254962670870876e-14,True
olmo2_1_49b,42,format_tolerant_chart_correct,mixed_code_state,274,D-C,homogeneous,['e07022e2dafb'],-1.82,-3.65,-0.36,5,0.0625,0.0625,False
olmo2_1_49b,42,format_tolerant_chart_correct,mixed_code_state,274,D-B,mixed_code_state,"['265109b12002', 'e07022e2dafb']",-37.23,-43.07,-31.39,106,1.3982559545042434e-28,8.38953572702546e-28,True
olmo2_1_49b,42,format_tolerant_chart_correct,mixed_code_state,274,D-A,mixed_code_state,"['265109b12002', 'e07022e2dafb']",-25.55,-31.02,-20.44,74,2.939204326972422e-19,1.1756817307889689e-18,True
olmo2_1_49b,42,text_level_chart_correct,mixed_code_state,274,B-A,homogeneous,['265109b12002'],-2.19,-5.47,0.73,18,0.237884521484375,0.713653564453125,False
olmo2_1_49b,42,text_level_chart_correct,mixed_code_state,274,C-A,mixed_code_state,"['265109b12002', 'e07022e2dafb']",0.36,-4.38,5.11,45,1.0,1.0,False
olmo2_1_49b,42,text_level_chart_correct,mixed_code_state,274,D-C,homogeneous,['e07022e2dafb'],-27.37,-33.94,-20.44,109,1.2265535543318507e-13,7.359321325991105e-13,True
olmo2_1_49b,42,text_level_chart_correct,mixed_code_state,274,D-B,mixed_code_state,"['265109b12002', 'e07022e2dafb']",-24.82,-31.02,-18.61,98,1.3988186908802743e-12,5.595274763521097e-12,True
olmo2_1_49b,42,text_level_chart_correct,mixed_code_state,274,D-A,mixed_code_state,"['265109b12002', 'e07022e2dafb']",-27.01,-33.58,-20.44,110,3.796577854740146e-13,1.898288927370073e-12,True
olmo2_1_49b,43,top1_correct,unknown_code_state,274,B-A,unknown_code_state,"['265109b12002', 'unknown']",17.15,11.68,22.63,65,2.049245302203524e-09,8.196981208814095e-09,True
olmo2_1_49b,43,top1_correct,unknown_code_state,274,C-A,unknown_code_state,"['e07022e2dafb', 'unknown']",-4.01,-7.66,-0.36,27,0.052238985896110535,0.10447797179222107,False
olmo2_1_49b,43,top1_correct,unknown_code_state,274,D-C,homogeneous,['e07022e2dafb'],-0.73,-2.19,0.73,4,0.625,0.625,False
olmo2_1_49b,43,top1_correct,unknown_code_state,274,D-B,mixed_code_state,"['265109b12002', 'e07022e2dafb']",-21.9,-27.37,-16.79,68,5.873990530091966e-15,3.5243943180551796e-14,True
olmo2_1_49b,43,top1_correct,unknown_code_state,274,D-A,unknown_code_state,"['e07022e2dafb', 'unknown']",-4.74,-8.39,-1.46,25,0.01463329792022705,0.04389989376068115,True
olmo2_1_49b,43,json_object_recovered,unknown_code_state,274,B-A,unknown_code_state,"['265109b12002', 'unknown']",16.79,8.76,24.82,128,5.8774046178537675e-05,0.00011754809235707535,True
olmo2_1_49b,43,json_object_recovered,unknown_code_state,274,C-A,unknown_code_state,"['e07022e2dafb', 'unknown']",-29.93,-35.77,-24.09,90,4.3245487100412455e-21,1.2973646130123736e-20,True
olmo2_1_49b,43,json_object_recovered,unknown_code_state,274,D-C,homogeneous,['e07022e2dafb'],-0.36,-1.82,0.73,3,1.0,1.0,False
olmo2_1_49b,43,json_object_recovered,unknown_code_state,274,D-B,mixed_code_state,"['265109b12002', 'e07022e2dafb']",-47.08,-53.65,-40.88,137,1.6613665736354485e-34,9.96819944181269e-34,True
olmo2_1_49b,43,json_object_recovered,unknown_code_state,274,D-A,unknown_code_state,"['e07022e2dafb', 'unknown']",-30.29,-36.13,-24.45,89,3.7988915866351353e-22,1.5195566346540541e-21,True
olmo2_1_49b,43,runtime_object_parsed,unknown_code_state,274,B-A,unknown_code_state,"['265109b12002', 'unknown']",14.96,7.3,22.63,115,0.00016552386897451067,0.00033104773794902134,True
olmo2_1_49b,43,runtime_object_parsed,unknown_code_state,274,C-A,unknown_code_state,"['e07022e2dafb', 'unknown']",-24.82,-30.29,-19.34,80,5.396645380673323e-16,1.618993614201997e-15,True
olmo2_1_49b,43,runtime_object_parsed,unknown_code_state,274,D-C,homogeneous,['e07022e2dafb'],-0.36,-1.82,0.73,3,1.0,1.0,False
