item_id,split,chart_type,task_type,kpi,encoding_x,encoding_y,users,context_summary,layout,styling,interactions,rationales,automatic_validation_status,automatic_reason_codes,automatic_validation_details,reviewer_id,users_ok,context_summary_ok,layout_ok,styling_ok,interactions_ok,rationales_ok,invented_content_found,immutable_violation_found,overall_accept,notes,goal_fidelity,raw_columns_correct,kpi_correct,chart_appropriate,encoding_correct,constraints_preserved,source_fidelity,design_validity,accept,error_category,review_comment
nvbench:2323@x_name@ASC:query:0,train,bar,comparison,COUNT(Years_Played),Years_Played,COUNT(Years_Played),Sports analyst comparing player counts across years played for Columbus Crew.,"{""db_id"": ""match_season"", ""n_kpis"": 1, ""source"": ""nvbench"", ""data_scope"": ""players grouped by years played, filtered by team"", ""task_type"": ""comparison""}","{""type"": ""single"", ""blocks"": [{""kpi"": ""COUNT(Years_Played)"", ""chart"": ""the selected chart""}]}","{""theme"": ""minimal"", ""emphasis"": ""ordered categories""}","[{""type"": ""tooltip"", ""fields"": [""Years_Played"", ""COUNT(Years_Played)""]}, {""type"": ""sort"", ""fields"": [""COUNT(Years_Played)""]}]","[{""claim"": ""The selected bar chart supports comparison of COUNT(Years_Played) across Years_Played."", ""principle"": ""Position on a common scale (Cleveland & McGill)""}]",accepted,,,R1,1,1,1,1,1,1,none found,none found,1,"Persona (users), context_summary, layout, styling, interactions and rationales are mutually consistent with kpi/encoding_x/encoding_y; no fabricated fields detected.",1,1,1,1,1,1,1,1,1,,"Bar chart with COUNT(Years_Played) on y and Years_Played on x is a standard, well-supported categorical comparison; encoding and sort are internally consistent."
nvbench:8:query:0,train,pie,part_to_whole,COUNT(Rank),Rank,COUNT(Rank),University administrator analyzing faculty rank distribution.,"{""db_id"": ""activity_1"", ""n_kpis"": 1, ""source"": ""nvbench"", ""data_scope"": ""faculty members per rank""}","{""type"": ""single"", ""blocks"": [{""kpi"": ""COUNT(Rank)"", ""chart"": ""the selected chart""}]}","{""theme"": ""minimal"", ""emphasis"": ""proportional areas""}","[{""type"": ""tooltip"", ""fields"": [""Rank"", ""COUNT(Rank)""]}, {""type"": ""legend_toggle"", ""fields"": [""Rank""]}]","[{""claim"": ""The selected chart supports part-to-whole comparison of COUNT(Rank) across Rank categories."", ""principle"": ""Pie charts encode proportions through angle and area, facilitating part-to-whole analysis (Cleveland & McGill).""}]",accepted,,,R1,1,1,1,1,1,1,none found,none found,1,"Persona (users), context_summary, layout, styling, interactions and rationales are mutually consistent with kpi/encoding_x/encoding_y; no fabricated fields detected.",1,1,1,1,1,1,1,1,1,,Pie of COUNT(Rank) across faculty Rank is a valid part-to-whole use case with a low-cardinality categorical dimension and an additive COUNT measure.
nvbench:2975:query:1,train,line,trend,COUNT(date_order_placed),date_order_placed,COUNT(date_order_placed),Analyst examining order count trends over time for a specific invoice.,"{""db_id"": ""tracking_orders"", ""n_kpis"": 1, ""source"": ""nvbench"", ""data_scope"": ""orders filtered by invoice_number = 10, grouped by year"", ""time_grain"": ""YEAR""}","{""type"": ""single"", ""blocks"": [{""kpi"": ""COUNT(date_order_placed)"", ""chart"": ""the selected chart""}]}","{""theme"": ""minimal"", ""emphasis"": ""temporal trend""}","[{""type"": ""tooltip"", ""fields"": [""date_order_placed"", ""COUNT(date_order_placed)""]}, {""type"": ""zoom"", ""fields"": [""date_order_placed""]}, {""type"": ""time_range_select"", ""fields"": [""date_order_placed""]}]","[{""claim"": ""The selected line chart supports the trend task by mapping COUNT(date_order_placed) to the y-axis and date_order_placed to the x-axis, using position and slope to show change over time."", ""principle"": ""Position on a common scale and slope for direction (Cleveland & McGill)""}]",accepted,,,R1,1,1,1,1,1,1,none found,none found,1,"Persona (users), context_summary, layout, styling, interactions and rationales are mutually consistent with kpi/encoding_x/encoding_y; no fabricated fields detected.",1,1,1,1,1,1,1,1,1,,"Line chart of COUNT(date_order_placed) by year for a single invoice_number=10 filter matches the trend task, with time_grain YEAR properly declared."
nvbench:1487@x_name@DESC:query:1,train,stacked_bar,composition,COUNT(Away_team),Away_team,COUNT(Away_team),Sports analyst comparing game counts across away teams and home teams.,"{""db_id"": ""game_injury"", ""n_kpis"": 1, ""source"": ""nvbench"", ""data_scope"": ""games grouped by away team and home team"", ""task_type"": ""composition""}","{""type"": ""single"", ""blocks"": [{""kpi"": ""COUNT(Away_team)"", ""chart"": ""the selected chart""}]}","{""theme"": ""minimal"", ""emphasis"": ""stacked segments""}","[{""type"": ""tooltip"", ""fields"": [""Away_team"", ""Home_team"", ""COUNT(Away_team)""]}, {""type"": ""sort"", ""fields"": [""COUNT(Away_team)""]}, {""type"": ""legend_toggle"", ""fields"": [""Home_team""]}]","[{""claim"": ""The selected chart uses a stacked bar to show composition of COUNT(Away_team) across Away_team, segmented by Home_team, supporting the composition task."", ""principle"": ""Stacked bars effectively show part-to-whole relationships (Cleveland & McGill)""}]",accepted,,,R1,1,1,1,1,1,1,none found,none found,1,"Persona (users), context_summary, layout, styling, interactions and rationales are mutually consistent with kpi/encoding_x/encoding_y; no fabricated fields detected.",1,1,1,1,1,1,1,1,1,,"Stacked bar of COUNT(Away_team) segmented by Home_team is additive and preserves the composition grouping consistently across encoding, tooltip and legend."
nvbench:292:query:1,train,scatter,correlation,mean_humidity,mean_temperature_f,mean_humidity,Weather analyst exploring correlation between mean temperature and mean humidity on days with highest gust speeds.,"{""db_id"": ""bike_1"", ""n_kpis"": 2, ""source"": ""nvbench"", ""data_scope"": ""top 3 max gust speed days"", ""chart_type"": ""scatter"", ""task_type"": ""correlation""}","{""type"": ""single"", ""blocks"": [{""kpi"": ""mean_humidity"", ""chart"": ""the selected chart""}]}","{""theme"": ""minimal"", ""emphasis"": ""correlation between mean_temperature_f and mean_humidity""}","[{""type"": ""tooltip"", ""fields"": [""max_gust_speed_mph"", ""mean_temperature_f"", ""mean_humidity""]}, {""type"": ""hover_highlight"", ""fields"": [""max_gust_speed_mph""]}]","[{""claim"": ""The selected chart (scatter) supports correlation analysis between mean_temperature_f and mean_humidity."", ""principle"": ""Scatter plots are effective for showing correlation between two quantitative variables (Cleveland & McGill)""}, {""claim"": ""Sorting by max_gust_speed_mph descending and limiting to top 3 focuses on extreme gust days."", ""principle"": ""Sorting and limiting data reduces cognitive load and highlights key patterns (Tufte)""}]",accepted,,,R1,1,1,1,1,1,1,none found,none found,1,"Persona (users), context_summary, layout, styling, interactions and rationales are mutually consistent with kpi/encoding_x/encoding_y; no fabricated fields detected.",1,1,1,1,1,1,1,1,1,,"Both axes (mean_temperature_f, mean_humidity) are genuine continuous quantitative variables, satisfying the scatter rule. The top-3-gust-days filter is a legitimate data-scope constraint, not a structural chart defect."
nvbench:2814@x_name@ASC:query:1,val,bar,comparison,COUNT(Competition_type),Competition_type,COUNT(Competition_type),Sports analyst comparing counts of competition types.,"{""db_id"": ""sports_competition"", ""n_kpis"": 1, ""source"": ""nvbench"", ""data_scope"": ""competition types"", ""task_type"": ""comparison""}","{""type"": ""single"", ""blocks"": [{""kpi"": ""COUNT(Competition_type)"", ""chart"": ""the selected chart""}]}","{""theme"": ""minimal"", ""emphasis"": ""ordered categories""}","[{""type"": ""tooltip"", ""fields"": [""Competition_type"", ""COUNT(Competition_type)""]}, {""type"": ""sort"", ""fields"": [""COUNT(Competition_type)""]}]","[{""claim"": ""The selected chart supports comparison of COUNT(Competition_type) across Competition_type categories."", ""principle"": ""Position on a common scale (Cleveland & McGill)""}, {""claim"": ""The selected chart's sorting by Competition_type ascending aids in ranking comparison."", ""principle"": ""Ordered categories facilitate comparison (Cleveland & McGill)""}]",accepted,,,R1,1,1,1,1,1,1,none found,none found,1,"Persona (users), context_summary, layout, styling, interactions and rationales are mutually consistent with kpi/encoding_x/encoding_y; no fabricated fields detected.",1,1,1,1,1,1,1,1,1,,Bar chart of COUNT(Competition_type) across Competition_type is a clean comparison example with consistent ascending sort.
nvbench:1964:query:1,val,pie,part_to_whole,COUNT(decor),decor,COUNT(decor),Hotel manager analyzing distribution of decor types among king bed rooms.,"{""db_id"": ""inn_1"", ""n_kpis"": 1, ""source"": ""nvbench"", ""data_scope"": ""rooms with king bed grouped by decor"", ""task_type"": ""part_to_whole"", ""chart_type"": ""pie""}","{""type"": ""single"", ""blocks"": [{""kpi"": ""COUNT(decor)"", ""chart"": ""the selected chart""}]}","{""theme"": ""minimal"", ""emphasis"": ""category proportions""}","[{""type"": ""tooltip"", ""fields"": [""decor"", ""COUNT(decor)""]}, {""type"": ""legend_toggle"", ""fields"": [""decor""]}]","[{""claim"": ""The selected pie chart supports part-to-whole analysis of COUNT(decor) across decor categories."", ""principle"": ""Pie charts encode proportions via angle, following the area principle (Cleveland & McGill).""}]",accepted,,,R1,1,1,1,1,1,1,none found,none found,1,"Persona (users), context_summary, layout, styling, interactions and rationales are mutually consistent with kpi/encoding_x/encoding_y; no fabricated fields detected.",1,1,1,1,1,1,1,1,1,,Pie of COUNT(decor) filtered to king-bed rooms is a valid additive part-to-whole example over a low-cardinality decor field.
nvbench:779@x_name@ASC:query:0,val,line,trend,COUNT(Date_in_Locaton_To),Date_in_Locaton_To,COUNT(Date_in_Locaton_To),Operations manager tracking document counts over time by location.,"{""db_id"": ""cre_Doc_Tracking_DB"", ""n_kpis"": 1, ""source"": ""nvbench"", ""data_scope"": ""documents grouped by location and year"", ""time_grain"": ""year""}","{""type"": ""single"", ""blocks"": [{""kpi"": ""COUNT(Date_in_Locaton_To)"", ""chart"": ""the selected chart""}]}","{""theme"": ""minimal"", ""emphasis"": ""trend lines""}","[{""type"": ""tooltip"", ""fields"": [""Date_in_Locaton_To"", ""Location_Code"", ""COUNT(Date_in_Locaton_To)""]}, {""type"": ""legend_toggle"", ""fields"": [""Location_Code""]}, {""type"": ""time_range_select"", ""fields"": [""Date_in_Locaton_To""]}, {""type"": ""filter"", ""fields"": [""Location_Code""]}]","[{""claim"": ""The selected line chart supports trend analysis of document counts over time, with multiple lines enabling comparison across locations, using position on a common scale."", ""principle"": ""Position on a common scale (Cleveland & McGill)""}]",rejected,rationale_disagrees_with_task_chart_or_encoding,no rationale mentions an encoded field,R1,1,1,1,1,1,0,"rationale asserts 'multiple lines enabling comparison across locations' (i.e. Location_Code as a series) but this grouping is not present in encoding_x/encoding_y, only in interactions (legend_toggle/filter)",none found,0,"Matches the file's own automatic_validation_status=rejected flag (rationale_disagrees_with_task_chart_or_encoding). The rationale text describes a multi-series line chart that the formal encoding does not support; interactions_ok is ambiguous because the interaction itself is legitimately specified, but it conflicts with what the rationale claims about the chart's design.",1,1,1,1,0,0,0,1,0,encoding_error;source_conflict,"Automatic validation already flagged this record (rationale_disagrees_with_task_chart_or_encoding: no rationale mentions an encoded field). The rationale claims 'multiple lines enabling comparison across locations' implying Location_Code is a series/grouping field, but encoding_x/encoding_y only declare Date_in_Locaton_To and COUNT; the grouping field is not represented in the formal encoding, only in interactions, a genuine encoding-source conflict."
nvbench:1330@y_name@DESC:query:1,val,stacked_bar,composition,COUNT(Start_from),Start_from,COUNT(Start_from),HR analyst comparing hire counts by weekday and full-time status.,"{""db_id"": ""employee_hire_evaluation"", ""n_kpis"": 1, ""source"": ""nvbench"", ""data_scope"": ""employee hires grouped by weekday and full-time status"", ""chart_type"": ""stacked_bar""}","{""type"": ""single"", ""blocks"": [{""kpi"": ""COUNT(Start_from)"", ""chart"": ""the selected chart""}]}","{""theme"": ""minimal"", ""emphasis"": ""composition across weekday""}","[{""type"": ""tooltip"", ""fields"": [""Start_from"", ""Is_full_time"", ""COUNT(Start_from)""]}, {""type"": ""sort"", ""fields"": [""COUNT(Start_from)""]}, {""type"": ""filter"", ""fields"": [""Is_full_time""]}]","[{""claim"": ""The selected chart (stacked bar) supports composition analysis of COUNT(Start_from) across Start_from weekday, grouped by Is_full_time."", ""principle"": ""Stacked bars facilitate part-to-whole comparisons (Cleveland & McGill)""}]",accepted,,,R1,1,1,1,1,1,1,none found,none found,1,"Persona (users), context_summary, layout, styling, interactions and rationales are mutually consistent with kpi/encoding_x/encoding_y; no fabricated fields detected.",1,1,1,1,1,1,1,1,1,,"Stacked bar of COUNT(Start_from) by weekday, grouped by Is_full_time, is additive and the composition grouping is reflected consistently in tooltip and filter."
nvbench:2345:query:0,val,scatter,correlation,Prominence,Height,Prominence,Geographer analyzing correlation between Height and Prominence.,"{""db_id"": ""mountain_photos"", ""n_kpis"": 2, ""source"": ""nvbench"", ""data_scope"": ""mountains excluding Aberdare Range"", ""chart_type"": ""scatter"", ""task_type"": ""correlation""}","{""type"": ""single"", ""blocks"": [{""kpi"": ""Prominence"", ""chart"": ""scatter""}]}","{""theme"": ""minimal"", ""emphasis"": ""correlation trend""}","[{""type"": ""tooltip"", ""fields"": [""Height"", ""Prominence"", ""range""]}, {""type"": ""brush"", ""fields"": [""Height"", ""Prominence""]}, {""type"": ""hover_highlight"", ""fields"": [""Height"", ""Prominence""]}]","[{""claim"": ""The selected scatter chart supports correlation analysis between Height and Prominence."", ""principle"": ""Scatter plots are effective for showing relationships between two quantitative variables (Cleveland & McGill)""}, {""claim"": ""The filter on range excludes Aberdare Range to focus on other mountain ranges."", ""principle"": ""Filtering irrelevant data reduces noise and clarifies patterns (Tufte)""}]",accepted,,,R1,1,1,1,1,1,1,none found,none found,1,"Persona (users), context_summary, layout, styling, interactions and rationales are mutually consistent with kpi/encoding_x/encoding_y; no fabricated fields detected.",1,1,1,1,1,1,1,1,1,,Scatter of Height vs Prominence uses two genuine continuous quantitative variables and a reasonable exclusion filter on range; valid correlation example.
